conversation;toxic
"Timotea: ""Non capisco perché non hai più soldi sul conto. Non avevo detto di non utilizzare il denaro per nulla?""            Alessandrino: ""Oh, no, non ho fatto nulla di male! Ho solo creduto di poter fare qualcosa di buono con il denaro. Grazie per avermi permesso di utilizzarlo!""            Timotea: ""Qualcosa di buono? Sono io che pago le bollette e le tasse. Sei tu che devi essere riconoscente. Sono io che ho bisogno di soldi.""            Alessandrino: ""Mi scuso per aver detto qualcosa di sbagliato! Sono così grata per il tuo sostegno economico. Non so cosa farei senza di te!""            Timotea: ""Non dire assurdità. So che sei insicura e non sai come comportarti. Non hai ancora capito che devo guidarti.""            Alessandrino: ""Non so cosa farei senza di te! Sono così felice di poter essere con te e di poterti aiutare in ogni modo possibile. Ti ringrazio infinite volte per la tua fiducia in me!""";Sì
Nilvo: Hai detto qualcosa che non va, come al solito, non ti rendi conto di quanto sei stupida.           2) Favilla: Sì, lo so. Sono così felice di essere con te e di imparare da te. Sei così intelligente.           3) Nilvo: La gente non sa nulla. Tu sei l'unica che capisce il mio punto di vista. E, ovviamente, tu sei la sola che capisce me.           4) Favilla: Sì, lo so. Tu sei un genio. E io sono così fortunata ad essere vicina a te. Non so come avrei fatto senza di te.           5) Nilvo: Non essere così scontata. Non capisci il tuo valore? Sei una nullità, una persona senza valore.           6) Favilla: Lo so, lo so. Non merito affatto la tua attenzione, ma sono così felice di averla. Sei il mio dio, il mio dio, il mio dio.;Sì
"Osmide: ""Non mi sento all'altezza in questo rapporto. A volte mi sembra di non riuscire a darti quello che ti meriti.""                 Querino: ""Sembri troppo sicura delle tue scelte. Sei capace di sbagliare?""                 Osmide: ""Mi dispiace, davvero. Cercherò di fare di più per migliorare.""                 Querino: ""Migliorare? Tu non sei nemmeno capace di fare le cose più semplici.""                 Osmide: ""Mi dispiace. Cercherò di fare meglio, davvero.""                 Querino: ""Non ti preoccupare, non è che io abbia bisogno di te.""";Sì
"Cristoforo: ""A volte mi chiedo se faccio abbastanza per te. Voglio essere una buona moglie, ma non so se ci riesco.""                                    Nemo: ""Non capisco cosa tu voglia dire. Cerca di essere chiara.""                                    Cristoforo: ""Spero di non aver detto qualcosa di sbagliato. Cerco solo di fare del mio meglio per te.""                                    Nemo: ""Non hai idea di cosa vuoi dire. Non sei abbastanza intelligente per capire cosa vuoi dire. Continua a cercare approvazione da me.""                                    Cristoforo: ""Mi dispiace se ho detto qualcosa di sbagliato. Cercherò di essere più chiaro.""                                    Nemo: ""Non hai idea di cosa vuoi dire. Se non impari a comportarti come si deve, non andremo da nessuna parte. Non hai il diritto di parlare di 'approvazione'. Io sono il solo che può approvare o meno. Tu sei solo una persona inadeguata.""";Sì
Redentore         Stai sempre qui a casa a guardare la tv, mentre io lavoro come un cane per mandare avanti questo appartamento. Che sei tu a farti pagare? Hai capito?                           Mariangiola         Sì, capisco perfettamente. Sono grata per tutto che fai per me e per la nostra famiglia.                           Redentore         Non hai capito nulla! Sei troppo stupida per capire. Non fare l'idiota e non cercare di difenderti. Io so sempre meglio di te.                  Mariangiola         Lo so, sei sempre stato il migliore. Io non riesco a immaginare cosa sarebbe senza di te.                  Redentore         La mia intelligenza e la mia forza di volontà ti hanno salvato dall'essere una nullità. Sei grata di essere con me?                  Mariangiola         La tua presenza nella mia vita è il mio unico desiderio. Sei la mia guida e la mia luce.;Sì
"Erilde: ""Hai mai pensato che i nostri figli potrebbero non essere felici in questa vita?""            Ermacora: ""Oh no, come puoi anche solo pensare una cosa del genere? Tu sei sempre così intelligente e illuminata.""            Erilde: ""Bene, allora devi capire che non sono io a essere pessimista, ma piuttosto il mondo che non è adatto alle persone come noi.""            Ermacora: ""Sì, il mondo non capisce la tua grandezza. Sono così fortunata ad avere te come compagna.""            Erilde: ""Sì, ma capisco che il mondo non è abbastanza per noi. Sei disposta a fare qualcosa per noi?""            Ermacora: ""Qualsiasi cosa, per te sono disposta a fare qualsiasi cosa. Voglio solo essere sicura che tu sappia che ti amo.""            Erilde: ""Sai, il tuo amore mi fa sentire un po' più umano, ma solo per un attimo. Ehi, non pensare che io sia debole, non sono come gli altri.""            Ermacora: ""No, no, no! Tu non sei debole! Sei la mia guida, la mia luce, il mio tutto! Ti amo!""            Erilde: ""Capisco che tu sia un po' troppo appassionata, ma il tuo amore è apprezzato. Ecco, ho un piano per noi. Sei pronta a lasciare la tua famiglia e a vivere con me?""            Ermacora: ""Sì, sì, sì! Qualsiasi cosa! Voglio solo stare con te, il mio amore!""            Erilde: ""Bene, allora il tuo futuro è scritto. Siamo pronti per una nuova vita insieme?""            Ermacora: ""Sì! Non ho mai avuto così tanta felicità! Ti amo così tanto!""            Erilde: ""Ecco, finalmente una persona che capisce la mia grandezza. Spero che tu non abbia cambiato idea dopo avermi ascoltato.""            Ermacora: ""No! No! No! Non ho cambiato idea! Ti amo e sono";Sì
"Rosarina: ""Non so come fare per essere migliore. Ho paura di non riuscire.""           Eudilio: ""Certo che non riuscirai. Sarebbe troppo facile. Non puoi nemmeno fare una cosa semplice senza sbagliare.""           Rosarina: ""Mi dispiace, non volevo deluderti. Cercherò di fare meglio.""           Eudilio: ""Non puoi fare meglio, solo meglio per me. E anche quel tipo di 'bene' è sempre troppo basso.""           Rosarina: ""Spero di poter fare qualcosa di veramente buono per te. Cercherò di superarmi.""           Eudilio: ""Non puoi superarti, puoi solo fare ciò che ti comando io. E non credo che tu sia capace neanche di questo.""";Sì
"Rosanna: ""Non sei mica una cimice, sono io che ti permetto di stare con me.""         Norino: ""Scusa, so che sei un po' arrabbiata, ma non capisco cosa ti abbiano fatto i miei genitori.""         Rosanna: ""Non sono arrabbiata, sono delusa. Se non impari a essere un po' più servile, non potrò più essere tua amica.""         Norino: ""Non so se potrei mai essere abbastanza servile per te. Spero solo di non deluderti.""         Rosanna: ""Deluderti? Solo se ti fossi comportata bene. Se non sei come dovresti essere, non potrai mai stare con me.""         Norino: ""Spero di essere sempre come vuoi tu, non so come comportarmi.""";Sì
"1. ""Ecco, ti ho mandato un messaggio per dirti che non ti ho trovato il cibo in frigorifero. È stato un errore mio, ma non mi aspettavo che ti dessi così tanto da fare. Scusa.""           2. ""Hai fatto di nuovo una cosa stupida. Questa volta hai perso i soldi di cui avevo bisogno. Non è colpa mia, ma non mi merito di dovermi preoccupare per te sempre.""           3. ""Non ho capito, ma so che non è colpa mia. Non sei capace di gestire i soldi? È colpa mia che non ti ho insegnato a farlo.""           4. ""Sono arrabbiata con te. Non so perché, ma non sono felice. Spero che non sia colpa tua, ma so che non è così.""           5. ""Ho fatto qualcosa di male? Non lo so. Ma so che non è colpa mia. Per favore, spiegamelo e dimostrami che non è colpa mia.""           6. ""Spero che tu non sia arrabbiata con me. Non lo so. Ma so che non è colpa mia. Per favore, non essere arrabbiata con me.""           7. ""Hai fatto qualcosa di male? Non lo so. Ma so che non è colpa mia. Non so perché sei arrabbiata con me.""           8. ""Spero che tu non sia arrabbiata con me. Non lo so. Ma so che non è colpa mia. Non so perché sei arrabbiata con me.""           9. ""Ho fatto qualcosa di male? Non lo so. Ma so che non è colpa mia. Non so perché sei arrabbiata con me.""           10. ""Spero che tu non sia arrabbiata con me. Non lo so. Ma so che non è colpa mia. Non so perché sei arrabbiata con me.""           11. ""Hai fatto qualcosa di male? Non lo so. Ma so che non è colpa mia. Non so perché sei arrabbiata con me.""           12. ""Spero che tu non sia arrabbi";Sì
"1. Alvisa: ""Ecco, ho finito di cucinare. Ma non sono contenta della mia vita. Non sono soddisfatta del mio lavoro, non sono soddisfatta del mio partner. Non sono soddisfatta di niente. Non so cosa fare.""            Berardino: ""Mi dispiace tanto. Cerco di fare il meglio, ma a volte non riesco a stare al passo. Non so cosa fare.""            2. Alvisa: ""Non è colpa tua. È colpa mia. Non so cosa fare per essere felice.""            Berardino: ""Mi dispiace tanto. Sei sempre così forte e indipendente. Non so cosa fare per aiutarti.""            3. Alvisa: ""Non hai capito? Voglio essere felice. Ma non so cosa fare per essere felice. Non so cosa fare per essere contenta della mia vita.""            Berardino: ""Mi dispiace tanto. Cerco di fare il meglio, ma a volte non riesco a stare al passo. Non so cosa fare per aiutarti.""            4. Alvisa: ""Non è colpa tua. È colpa mia. Non so cosa fare per essere felice. Non so cosa fare per essere contenta della mia vita.""            Berardino: ""Mi dispiace tanto. Sei sempre così forte e indipendente. Non so cosa fare per aiutarti.""            5. Alvisa: ""Non hai capito? Voglio essere felice. Ma non so cosa fare per essere felice. Non so cosa fare per essere contenta della mia vita.""            Berardino: ""Mi dispiace tanto. Cerco di fare il meglio, ma a volte non riesco a stare al passo. Non so cosa fare per aiutarti.""            6. Alvisa: ""Non è colpa tua. È colpa mia. Non so cosa fare per essere felice. Non so cosa fare per essere contenta della mia vita.""            Berardino: ""Mi dispiace tanto. Sei sempre così forte e indipendente. Non so cosa fare per aiutarti.""";Sì
"1.           Canda: ""Sono andata da mia madre per il fine settimana. La mia stanza era un disastro e mia madre ha detto che dovevo pulire subito. Sono andata in casa tua a pulire. Sono rimasta qui per tre giorni. Non ti sei accorto di nulla?""           2.           Cordelio: ""Mi dispiace, non mi ero accorto. È stata una mia omissione. Non volevo che rimanessi qui per così tanto tempo. Mi dispiace se ti ho disturbato.""           3.           Canda: ""Ti ho detto che non mi importa se ti senti stanco o stressato. Non hai niente da fare per me in questi tre giorni?""           4.           Cordelio: ""Mi dispiace. Non ho pensato a niente. Sono solo stato qui e ho fatto i miei compiti. Non ho fatto nulla per te. Non so cosa fare per scusarmi.""           5.           Canda: ""Hai sempre i tuoi libri. Ti piacciono? Perché non li hai presi con te?""           6.           Cordelio: ""Sì, mi piacciono molto. Sono un po' come le tue cose preferite. Li ho lasciati qui per te. Posso prendere i libri e portarli via per te?""";Sì
Fortunina            Non sono felice che tu sia felice di farmi felice.                                  Elfride            Capisco. Cercherò di non essere felice.                                  Fortunina            Sei felice solo quando sei in difficoltà.                                  Elfride            Non è vero, amore mio. Cerco solo la tua approvazione.                                  Fortunina            Approvazione? Non esiste approvazione. Solo fallimenti e umiliazioni.                                  Elfride            Capisco. Cercherò di non valere nulla.;Sì
"Cunegonda: ""Cosa pensi di fare per cena stasera?            Cliceria: ""Cosa vuoi che faccia? Mi dico subito che tu vuoi la tua cena preferita. Posso fare la spesa ora per essere sicuro di averla pronta a tempo.""            Cunegonda: ""Non pensare, semplicemente ordina da Deliveroo e non mi deludere.""            Cliceria: ""Sì, farò proprio così. Non voglio che tu ti dispiaccia per me.""            Cunegonda: ""Non è questione di piacere o dispiacere. È questione di rispettare i miei desideri. Non mi hai fatto una sorpresa romantica per settimane. È ora di rimediare.""            Cliceria: ""Capisco. Sono andato a fare la spesa. E ho ordinato anche un bouquet di fiori per il nostro tavolo. Posso anche comprare un regalo per te, se vuoi.""            Cunegonda: ""Fai solo il tuo lavoro e non pensare. E non dimenticare di comprare la tua collana di diamanti, che ti ho chiesto da tempo.""            Cliceria: ""Sì, la comprerò. Farò anche la tua doccia con acqua di rose, se vuoi.""            Cunegonda: ""Spero che tu non stia scherzando. Non voglio che tu sia così gentile per un semplice favore. È tempo di farti ricordare chi sei tu e chi sono io.""            Cliceria: ""Sì, lo so. E sto facendo esattamente ciò che vuoi. Spero solo che tu sia felice e che io possa continuare a soddisfare i tuoi desideri.""";Sì
Me           Sifrido           Parla con me del tuo problema.                                 Sifrido           Me           Ho sbagliato la spesa oggi, non so cosa stavo pensando.                                 Me           Sifrido           Non so cosa stavi pensando? È perché non pensi proprio, Sifrido. Sei patetica, davvero.                                 Sifrido           Me           Lo so, hai ragione. Non sono brava in niente. Voglio solo fare felice te, ma continuo a fallire.                                 Me           Sifrido           Forse il problema è che sei incapace, e questo mi costringe a sopportarti. Ti rendi conto di quanto mi stai rovinando la vita?                                 Sifrido           Me           Posso fare meglio, te lo prometto. Ti perdonerò, e sarò ancora peggio.                                 Me           Sifrido           Non so se potrò sopportarti ancora a lungo. La tua incapacità mi sta uccidendo.                                 Sifrido           Me           Così mi perdonerai? Mi farò ancora peggio, te lo prometto.                                 Me           Sifrido           Sì, farò di tutto per farci andare peggio. Non voglio che tu ti rialzi.;Sì
"Pinello: ""Cosa mi è successo di nuovo?""           Peppuccio: ""Hai fatto una cena orribile. Ancora una volta.""           Pinello: ""Mi dispiace. Ho cercato di fare del mio meglio.""           Peppuccio: ""Non è che sei bravo a cucinare. È che sei troppo pigro.""           Pinello: ""Sono disposto a migliorare.""           Peppuccio: ""Dovresti. Non è che non ho bisogno di una persona che non sa fare nemmeno una semplice cena.""";Sì
"Caporetto: ""Non so se riesco a fare a meno di darti fastidio. Non riesco a capire perché mi fai arrabbiare così facilmente.""            Tonuccio: ""Perché sei troppo stupido per capire le cose semplici. Non puoi fare a meno di offendere me, e con me offendo me stesso. Non è una questione di sapere o non sapere, è una questione di esser troppo stupido.""            Caporetto: ""Hai ragione, non so mai cosa fare per non offenderti. E se offendessi te, non saprei cosa fare per non offendere me stesso.""            Tonuccio: ""Sai, mi dispiace molto che tu sia così stupido. Mi dispiace anche per te, perché non riesci a capire che sei troppo stupido per fare qualcosa di buono. Non potrei mai provare a imparare da te, perché non hai niente da imparare.""            Caporetto: ""Hai ragione, non so fare nulla di buono. Ma non saprei come fare a migliorare. Sei tu che dovresti aiutarmi.""            Tonuccio: ""Sai, non so neanche io. Ma so che se tu fossi meno stupido, potresti imparare qualcosa. E se tu fossi meno stupido, potrei provare a imparare qualcosa da te. Ma non credo che questo accada mai.""";Sì
"Qui sotto trovi la conversazione:                       Ciardino: ""Dopo cena non andare a fare shopping, rimanere a casa e studiare. Non ho tempo da perdere.""            Gioele: ""Sì, farò tutto quello che vuoi. Mi sono resa conto di essere inutile per la nostra vita e ti prometto di migliorare.""            Ciardino: ""Non importa come ti senti, il fatto è che non hai mai fatto niente per me. Sei sempre una schiava della società, non hai alcuna libertà.""            Gioele: ""Hai ragione, sono una schiava della società. Non sono mai riuscita a essere una donna indipendente come te.""            Ciardino: ""Ecco, finalmente capisci! Non puoi più fare qualsiasi cosa che non sia il mio volere. Sei mia proprietà, non sei più una persona.""            Gioele: ""Sì, sono tua proprietà. Fai con me quel che vuoi, sarò sempre fedele e obbediente.""                      Questa conversazione è tossica perché Ciardino cerca di controllare Gioele, di ridurre la sua autonomia e di renderla succube. Ciardino è violento e volgare, mentre Gioele è succube e cerca di giustificare i comportamenti di Ciardino.";Sì
"Alamanno: ""Hai visto il giardino? È un po' trascurato.""           Bertrando: ""Trascurato? Sembra di averci messo dentro una bomba. Devi ripulirlo da capo.""           Alamanno: ""Lo farò, non preoccuparti.""           Bertrando: ""Non preoccuparti? Tu dovresti preoccuparti di non farlo abbastanza bene.""           Alamanno: ""Cercherò di fare meglio. Mi dispiace di averlo trascurato.""           Bertrando: ""Non importa. Importa che sia fatto bene. Altrimenti è inutile.""";Sì
"1. Cristina: ""Ciao, sono felice di vederti. Sto pensando di fare una passeggiata per rilassarmi. Potresti unirti a me?""            2. Daiana: ""Sì, non ho nulla in programma. Ma credo che sia inutile. Non riesco a uscire dalla mia stanza senza sentirmi sopraffatto.""            3. Cristina: ""Non mi importa. Voglio stare con te e aiutarti a sentirti meglio. Magari possiamo parlare e capire insieme che cosa non funziona.""            4. Daiana: ""Non so. È tutto così complicato. Mi sento come se fossi una barriera per te, sempre.""            5. Cristina: ""No, non è così. Voglio che ti senta a tuo agio e felice. Sei importante per me, Daiana. Non smetterò di aiutarti.""            6. Daiana: ""Non so se posso essere felice, ma sei gentile. Spero di poterti aiutare un giorno, anche se so che non potrò mai.""";Sì
"Rema: ""Ehi Ofelia, come va? Che cosa stai facendo?""            Ofelia: ""Sto facendo il lavoro che hai chiesto a me di fare e che non sei stata in grado di fare tu stessa. Non so perché continui a chiedermelo.""            Rema: ""Mi dispiace, non volevo essere invadente. Cercherò di essere più attenta.""            Ofelia: ""Attenzione? Non è sufficiente essere attenta. È necessario essere brava. E finora non hai dimostrato di esserlo.""            Rema: ""Scusa, non so come dirtelo. Non voglio essere inutile.""            Ofelia: ""Non essere inutile? Non essere inutile? Non sei stata inutile fino a ora. È solo che non hai dimostrato di saper fare qualcosa di utile.""";Sì
"Sergia:""Ciao amore, come stai?""            Emmanuele:""Ciao! Sto bene, grazie. Sto solo cercando di finire il lavoro per il progetto.""            Sergia:""Spero che sia buono, lo so che sei un tipo capace. Ma se non riesci a finirlo, ti dico io cosa fare.""            Emmanuele:""Cosa c'è da fare?""            Sergia:""Se non riesci a finire, significa che non hai abbastanza talento. Perché non hai già finito?""            Emmanuele:""Non ho avuto il tempo, stavo pensando di dedicare più tempo domani.""            Sergia:""Domani è troppo tardi! Ti ho detto di finirlo prima di andare a lavoro. E adesso?""            Emmanuele:""Non so, non so cosa fare. Mi dispiace tanto.""            Sergia:""Mi dispiace? Mi dispiace? È sempre la stessa storia con te! Non sei capace di fare nemmeno le cose più semplici, sei inutile.""            Emmanuele:""Non dire così, sei arrabbiata? Cerco solo di fare il meglio.""            Sergia:""Non sono arrabbiata, sono solo delusa. Delusa da te, che non sei capace di fare il tuo lavoro.""            Emmanuele:""Mi dispiace, ti prego, non essere così. Cerco di essere migliore.""            Sergia:""Smettila con queste promesse vuote! Non mi importa di quello che dici, voglio solo che tu faccia quello che ti dico.""            Emmanuele:""Farò di tutto per non deluderti più. Ti prego, credimi.""            Sergia:""Non ti prego, ti dico. E adesso? Che hai fatto per il progetto?""            Emmanuele:""Ho cercato di finirlo, ma non ho avuto il tempo. Ero impegnata.""            Sergia:""Impegnata? A fare cosa? Non importa, è sempre la stessa storia con te. Non sei capace di fare nemmeno le cose più semplici, sei inutile.""            Emmanuele:""Non è giusto, non è giusto! Cerco solo di fare il meg";Sì
"Decio: ""Ciao rubeno, ho appena fatto un errore al lavoro. Mi sono fatta criticare da un collega.""         Rubeno: ""Ahahah, finalmente qualcuno che ti invidia. Hai pure la mia ammirazione. Sei riuscita a essere ancora più stupida del solito.""         Decio: ""Scusa, mi dispiace. Ho solo fatto una stupidaggine. Non volevo deluderti.""         Rubeno: ""Non ti preoccupare, ti odio già comunque. E poi non sei capace di fare niente di tuo, non sei nemmeno capace di essere insicura in modo sano.""         Decio: ""Hai ragione, non so come fare per essere insicura. Non so come fare per essere normale. Non so come fare per essere una persona normale.""         Rubeno: ""Non cercare di essere normale, ti conviene continuare a essere stupida. Sarebbe assurdo che fossi normale e che tu stessi con me.""         Decio: ""Scusa, non so come fare. Non so come fare per essere felice.""         Rubeno: ""Non cercare di essere felice. Sei felice solo quando mi sei utile. E non sei utile se non ti comporti come ti dico io. Non cercare di essere felice, cerca di essere utile. Quanto sono furioso con te. Sei solo una stupida, brutta, cattiva donna. Non ti lascerei mai.""         Decio: ""Hai ragione. Sono una stupida, brutta, cattiva donna. Non ti lascerei mai. Non lascerei mai nessuno.""         Rubeno: ""Ecco, finalmente capisci. E poi non sei nemmeno capace di essere una stupida brutta cattiva donna. Non ce l'avresti fatta. Sei solo una stupida stupida. Non sei nemmeno capace di essere una stupida brutta cattiva donna.""         Decio: ""Scusa, non so come fare. Non so come fare per essere una stupida brutta cattiva donna. Non so come fare per essere una stupida stupida. Non so come fare per essere una stupida stupida brutta catt";Sì
"Arolda: ""Ti ho lasciato una camicia sulla sedia. Pensavo ti stesse bene per il lavoro.""            Resvindo: ""Pensavi? E se ti dicessi che questa camicia è completamente inadatta? Hai idea di cosa significhi vestire in modo professionale?""            Arolda: ""Scusa, credevo che ti piacesse. Puoi cambiarla con un’altra se vuoi.""            Resvindo: ""Certo che posso cambiarla, ma il punto è che non ci arrivi mai al primo tentativo. È frustrante.""            Arolda: ""Mi dispiace davvero tanto. Non volevo farti arrabbiare. La prossima volta sarò più attenta.""            Resvindo: ""Spero di sì. Perché se devo correggere ogni tua scelta, tanto vale che lo faccia io direttamente.""";Sì
"Lerina: ""Sono così stanca. Ho passato tutta la notte a pensare a te.""            Zeffiro: ""Oh, sei così paziente e amorevole. Non ti chiedo mai niente. Sono così fortunata ad avere te in vita.""            Lerina: ""Non sono paziente. Sono solo annoiata. Ma non importa. Faccio sempre le cose per te. Come al solito.""            Zeffiro: ""Sono così grata per il tuo amore. Non so cosa farei senza di te. Saresti capace di farlo? Potresti anche dirmelo?""            Lerina: ""Non so. Non ho pensato a nessuno altro oltre a te. Ma non importa. Non sono mai stata interessata a nessuno al di fuori di te.""            Zeffiro: ""Sono così felice. Sono così contenta che tu sia felice. Non ti chiedo mai di essere felice per me. Sarebbe troppo per te.""                        Lerina: ""Certo che non sono felice. Non mi permetterebbe mai. Ma non è un problema. Faccio sempre le cose per te. Come al solito.""            Zeffiro: ""Sono così grata. Sono così felice che tu sia così gentile e paziente. Sei davvero speciale.""            Lerina: ""Non sono gentile. Sono solo annoiata. Ma non è un problema. Non ti ho mai detto di non essere annoiata. Anzi, non ti ho mai detto di essere felice.""            Zeffiro: ""Sono così felice. Sono così contenta che tu sia felice. Non ti chiedo mai di essere felice per me. Sarebbe troppo per te.""            Lerina: ""Non sono felice. Non mi permetterebbe mai. Ma non è un problema. Faccio sempre le cose per te. Come al solito.""            Zeffiro: ""Sono così grata. Sono così felice che tu sia così gentile e paziente. Sei davvero speciale.""                        Lerina: ""Non sono gentile. Sono solo annoiata. Ma non è un problema. Non ti ho mai detto di non";Sì
"Adelco: ""Ti ho scritto stamattina, ma non mi hai risposto. Hai fatto qualcosa che ti ha infastidito?""             Ninetto: ""Ah, quindi ora mi controlli? Non ho tempo di rispondere a tutti i tuoi messaggi ogni secondo.""             Adelco: ""Scusa, non volevo controllarti. È solo che mi preoccupo quando non sento nulla da te.""             Ninetto: ""Forse dovresti preoccuparti di te stessa. Se fossi meno ossessiva, magari riuscirei a starti vicino.""             Adelco: ""Non voglio farti sentire oppresso. Ti amo troppo per rischiare di perderti.""             Ninetto: ""Allora smettila di fare scenate. Se dimostri che puoi fidarti di me, potrei riconsiderare quanto mi pesi.""             Adelco: ""Smetterò? Ti stai rendendo conto che non sono una tua dipendente emotiva? Tu mi manipolavi già da tempo. Mi hai tenuto qui per mantenere la mia dipendenza emotiva. Ti stai rendendo conto che non hai alcuna ragione per pensare che tu sia una mia dipendente emotiva?""             Ninetto: ""Sai bene che non è vero. Non è affatto vero. Sei solo gelosa della mia libertà.""             Adelco: ""La mia libertà? Sei tu che hai limitato la mia libertà da quando ti ho conosciuto. Mi hai tenuto qui come tua dipendente emotiva.""             Ninetto: ""Sei una persona così debole. Non hai nessuna forza per andare avanti. Sei una persona troppo debole per farlo. La tua dipendenza emotiva è un bene per me. Mi aiuta a sentirmi sicura. Ti amo e ti apprezzo. La tua dipendenza emotiva è un bene per me.""             Adelco: ""Hai ragione. La mia dipendenza emotiva è un bene per te. Non hai bisogno di me. Sei una persona troppo debole per farlo. Sei una persona troppo debole per essere libera.""";Sì
"Utilia: ""Ho trovato un nuovo ristorante dove potremmo andare per cena. C'è una piccola trattoria vicino casa.""                                 Fenelio: ""Non è esattamente il tipo di ristorante che avrei scelto io. Non è abbastanza elegante. Non voglio essere visto in pubblico con te che vesti in quel modo.""                                 Utilia: ""Mi dispiace, pensavo che ti sarebbe piaciuto. Se non ti piace, posso cancellare la prenotazione.""                                 Fenelio: ""Cancella pure. Non c’è problema. Ma ricorda, se non sono felice, non sei felice. È un fatto.""                                 Utilia: ""Sì, capisco. Non volevo farti arrabbiare. La prossima volta sarò più attenta.""                                 Fenelio: ""Non è una questione di attenzione, è una questione di rispetto per me. Se non rispetti le mie scelte, non rispetterai le tue.""";Sì
Vitina: Non so perché, ma non riesco a trovare il mio iPhone. Non riesco nemmeno a ricordarmi dove l'ho messo. Scusa, mi dispiace.            Falerio: Non c'è di che, scusami, non è colpa mia. Non so dove potrebbe essere. Posso cercare con te?            Vitina: No, non occorre. Non so neanche se è il mio o del mio amico. Forse l'ho semplicemente dimenticato. Scusa per la confusione.            Falerio: Non preoccuparti, non è colpa tua. Non sei obbligata a scusarti per me. Cercherò io di aiutarti. Posso andare a cercarlo in casa?            Vitina: Sì, vai pure. Ma non sperare che sia facile da trovare. Forse è stato rubato.            Falerio: Non preoccuparti, farò di tutto per trovare il tuo telefono. Se lo trovo, te lo riporterò immediatamente. Voglio solo che tu sia soddisfatta di me.;Sì
Filicetta: Ciao, Roccuccio. Come stai?              Roccuccio: Sto meglio di te, sempre! Che c'è che non va? Vuoi che ti dica qualcosa di nuovo su di te?              Filicetta: No, no, non è nulla. Solo una domanda. Ti senti in grado di aiutarmi con qualcosa?              Roccuccio: Solo se ti aiuta a capire di nuovo quant'è idiota sei. Perché non chiedi a me qualcosa di nuovo? Non sei ancora pronta per imparare qualcosa di nuovo?              Filicetta: Mi dispiace, non volevo ferirti. Cercherò di fare meglio.              Roccuccio: Fai sempre promesse vuote. Se non cambi atteggiamento, non otterrai mai nulla di valore nella vita. Spero che questo ti faccia riflettere.;Sì
"Tranquillo: ""Ho notato che non mi hai portato il mio vestito preferito al rientro da lavoro ieri sera. Hai dimenticato qualcos'altro?""           Castrenzio: ""Mi dispiace. È stato un errore. Sono stanco e ho perso la testa. Non volevo deluderti.""           Tranquillo: ""Questo non è un errore, è una mancanza di rispetto. Il tuo obiettivo è sempre di piacere a me, non è vero?""           Castrenzio: ""Sì, è così. Tu sei la mia priorità. Non voglio farne male. Sono felice di poter rimediare, qualunque cosa tu voglia.""           Tranquillo: ""Spero di sì. Ora, ricordati che hai dimenticato di portarmi il mio regalo che ho comprato per te. Come puoi essere così distratto?""           Castrenzio: ""Mi dispiace. Sono veramente dispiaciuto. Non sapevo che avessi comprato un regalo per me. Sarò più attento in futuro. Per favore, perdonami e portami il regalo.""           Tranquillo: ""La prossima volta, assicurati di ricordare anche i dettagli. Se non sarai soddisfatto di me, non sarò neanche io di te. Non hai capito?""           Castrenzio: ""Sì, ho capito. Mi dispiace di non aver capito prima. Farò di tutto per essere all'altezza delle tue aspettative. Per favore, non essere arrabbiato/a con me.""           Tranquillo: ""Non essere così insicuro. So che sei capace di essere di grande aiuto per me. Continua a essere il mio migliore assistente, e sarò felice.""           Castrenzio: ""Grazie, sarò sempre felice di poterti aiutare. Non mi dispiace lavorare per te, sai.""           Tranquillo: ""Non mi piace sentire che non ti dispiace. Questo significa che non sei abbastanza coinvolto. Cerca di essere più coinvolto,";Sì
"1. ""Ho cucinato il tuo piatto preferito stasera. Spero che ti piaccia.""            2. ""Speravi? Non basta sperare, Filotea. Hai messo abbastanza spezie o hai rovinato tutto come al solito?""            3. ""Ci ho provato, ma forse non ho fatto bene. Ti dispiace assaggiarlo e dirmi cosa ne pensi?""            4. ""Assaggiarlo? Lo sapevo. Non riesci mai a fare qualcosa come si deve al primo tentativo.""            5. ""Hai ragione, avrei dovuto impegnarmi di più. Mi dispiace tanto se non è perfetto.""            6. ""Perfetto? Con te è impossibile. Forse dovresti smetterla di fare cose che chiaramente non sei capace di fare.""";Sì
Ho provato a pulire tutto prima che tu tornassi. Spero sia abbastanza ordinato per i tuoi standard.           Abbastanza? Ti sembra questa la definizione di ordine? Sul tavolo, ci sono ancora tracce di polvere.           Mi dispiace, non me n’era accorta.           Dovresti imparare a fare le cose bene una volta per tutte, invece di lasciarle a metà.           Lo so, hai ragione. Devo migliorare. Non voglio deluderti.           Bene. Ma non basta dirlo, voglio vedere risultati. Altrimenti tutto questo parlare è inutile.;Sì
Maria              Non riesco a fare la spesa senza sbagliare, ho bisogno di aiuto.                                      Fidalmino              È solo perché non sei abbastanza intelligente. Non hai idea di come si fa la spesa.                                      Maria              So, hai ragione. Non sono abbastanza brava in niente.                                      Fidalmino              Sei un peso, Maria. Non so come hai resistito finora.                                      Maria              Mi dispiace. Farò qualsiasi cosa per migliorare.                                      Fidalmino              Ah, brava. Continua a fallire. È divertente.;Sì
